Step;sac_expanded;droQ_expanded;ppo_expanded;ppg_expanded;;;;;;;;
7050000;;;1623,637451;1863,895264;;;;;;;;
7080000;;;1723,090942;1880,979004;;;;;;;;
7110000;;;1673,66272;1724,584473;;;;;;;;
7140000;;;1712,759277;1773,280518;;;;;;;;
7170000;;;1728,519897;1741,886719;;;;;;;;
7200000;;;1706,984497;1747,860962;;;;;;;;
7230000;;;1742,172485;1780,34729;;;;;;;;
7260000;;;1892,920654;1915,94873;;;;;;;;
7290000;;;1660,266724;1696,742798;;;;;;;;
7320000;;;1789,109131;1759,977051;;;;;;;;
7350000;;;1712,262817;1798,480469;;;;;;;;
7380000;;;1691,82312;1770,265381;;;;;;;;
7410000;;;1830,503784;1879,780518;;;;;;;;
7440000;;;1794,890747;1720,841553;;;;;;;;
7470000;;;1741,513428;1819,431519;;;;;;;;
7500000;;;1881,918335;1743,557129;;;;;;;;
7530000;;;1821,423828;1633,536499;;;;;;;;
7560000;;;1684,198242;1811,7854;;;;;;;;
7590000;;;1883,259155;1732,146118;;;;;;;;
7620000;;;1808,483765;1794,331909;;;;;;;;
7650000;;;1690,69873;1744,49646;;;;;;;;
7680000;;;1894,802612;1783,281006;;;;;;;;
7710000;;;1734,99646;1822,708252;;;;;;;;
7740000;;;1812,658813;1891,96875;;;;;;;;
7770000;;;1752,128662;1575,9646;;;;;;;;
7800000;;;1911,241577;1904,119263;;;;;;;;
7830000;;;1749,368652;1870,440918;;;;;;;;
7860000;;;1856,455566;1866,763672;;;;;;;;
7890000;;;1730,534546;1808,812622;;;;;;;;
7920000;;;1785,445923;1877,00354;;;;;;;;
7950000;;;1883,015991;1892,966675;;;;;;;;
7980000;;;1843,260254;1881,888428;;;;;;;;
8010000;;;1982,366943;1833,629761;;;;;;;;
8040000;;;1797,019409;1871,149536;;;;;;;;
8070000;;;1813,103027;1874,467407;;;;;;;;
8100000;;;1997,469971;1816,148315;;;;;;;;
8130000;;;1908,259521;1688,424561;;;;;;;;
8160000;;;1783,312622;1963,400391;;;;;;;;
8190000;;;1949,619141;1897,11792;;;;;;;;
8220000;;;1855,015991;1882,014404;;;;;;;;
8250000;;;1833,623413;1868,697021;;;;;;;;
8280000;;;1894,403198;1866,471313;;;;;;;;
8310000;;;1777,47583;1868,346924;;;;;;;;
8340000;;;1866,702759;1919,960327;;;;;;;;
8370000;;;1768,710815;1991,322144;;;;;;;;
8400000;;;1803,401855;1773,838379;;;;;;;;
8430000;;;1943,540283;1950,05542;;;;;;;;
8460000;;;1896,853394;1979,279663;;;;;;;;
8490000;;;1766,575073;1882,294067;;;;;;;;
8520000;;;1856,882446;1956,458496;;;;;;;;
8550000;;;1782,364868;1847,584961;;;;;;;;
8580000;;;1956,724609;1901,735718;;;;;;;;
8610000;;;1955,913818;1857,963013;;;;;;;;
8640000;;;1781,985352;1856,870972;;;;;;;;
8670000;;;1939,001831;1978,428955;;;;;;;;
8700000;;;1933,723633;2046,892822;;;;;;;;
8730000;;;1945,516113;1954,7323;;;;;;;;
8760000;;;1788,004761;2008,385864;;;;;;;;
8790000;;;1724,224121;1940,040771;;;;;;;;
8820000;;;1999,025513;1857,778442;;;;;;;;
