Step;sac_expanded;droQ_expanded;ppo_expanded;ppg_expanded
4530000;-414,2335205078125;-392,2797546386719;0,0170035175979137;1,3609169721603394
4560000;-413,4881591796875;-392,934326171875;0,0151649517938494;1,3264135122299194
4590000;-413,5634460449219;-392,9324645996094;0,0175790023058652;2,043069839477539
4620000;-415,5408935546875;-393,703857421875;0,0212427489459514;1,9046440124511719
4650000;-418,1477355957031;-394,2048645019531;0,0137965818867087;1,025576114654541
4680000;-422,2903442382813;-393,0841979980469;0,0197096597403287;1,8116710186004639
4710000;-425,8835144042969;-393,7976684570313;0,0188623145222663;0,8482134342193604
4740000;-428,827880859375;-395,1582946777344;0,0183221939951181;1,9720070362091064
4770000;-429,4761657714844;-395,8168029785156;0,0174477975815534;1,7698283195495605
4800000;-431,7783203125;-396,91351318359375;0,0145397568121552;0,6198692917823792
4830000;-434,4568176269531;-397,9735107421875;0,0200397875159978;1,9777801036834717
4860000;-436,03656005859375;-398,8046569824219;0,017955994233489;0,966728925704956
4890000;-438,3225402832031;-399,60931396484375;0,0192989073693752;1,2126007080078125
4920000;-440,9309692382813;-400,3869934082031;0,0183006469160318;0,4201173186302185
4950000;-442,8453979492188;-401,3532104492188;0,0192391518503427;0,5753897428512573
4980000;-443,8879089355469;-401,2126159667969;0,0159891154617071;1,0340396165847778
5010000;;;0,0173120088875293;0,573225736618042
5040000;;;0,0181841868907213;0,5202004313468933
5070000;;;0,0167677104473114;1,514955997467041
5100000;;;0,0170695520937442;1,4513546228408813
5130000;;;0,0174516625702381;1,5575042963027954
5160000;;;0,013452336192131;0,8761935234069824
5190000;;;0,0159646328538656;1,0026663541793823
5220000;;;0,019222903996706;0,24103981256484985
5250000;;;0,0176447629928588;2,1858949661254883
5280000;;;0,0182480588555336;0,6477645635604858
5310000;;;0,0147790815681219;1,327777624130249
5340000;;;0,0165763646364212;1,347718596458435
5370000;;;0,0179586187005043;0,6044631004333496
5400000;;;0,0182979572564363;1,8903061151504517
5430000;;;0,0148599278181791;1,2437686920166016
5460000;;;0,0172134581953287;1,2257134914398193
5490000;;;0,0215544942766428;0,6354301571846008
5520000;;;0,0221486240625381;1,1640342473983765
5550000;;;0,0153847336769104;1,0226283073425293
5580000;;;0,0148040549829602;1,6657809019088745
5610000;;;0,0191979277878999;1,123186707496643
5640000;;;0,0126744210720062;0,8495060801506042
5670000;;;0,0126929581165313;0,2927778959274292
5700000;;;0,0195814501494169;1,0211881399154663
5730000;;;0,0143895372748374;1,6812471151351929
5760000;;;0,0176014751195907;1,8452627658843994
5790000;;;0,0193765517324209;0,8012654185295105
5820000;;;0,0151429641991853;2,2475650310516357
5850000;;;0,0140659268945455;1,0807530879974365
5880000;;;0,0157733876258134;1,9839314222335815
5910000;;;0,0200051162391901;2,261300563812256
5940000;;;0,0161659475415945;2,541856288909912
5970000;;;0,0160829965025186;1,2941831350326538
6000000;;;0,01679646410048;1,1209081411361694
6030000;;;0,014543917030096;1,5223249197006226
6060000;;;0,0190300103276968;2,923475980758667
6090000;;;0,0137705523520708;1,1963948011398315
6120000;;;0,0148625522851943;0,3784891963005066
6150000;;;0,0134976441040635;0,3550976514816284
6180000;;;0,0155959352850914;0,657386064529419
6210000;;;0,0209965202957391;0,7529380321502686
6240000;;;0,0139980399981141;0,3156065046787262
6270000;;;0,01663020811975;1,5079201459884644
6300000;;;0,014624536037445;0,9728858470916748
6330000;;;0,0154424021020531;0,42576703429222107
6360000;;;0,0187263321131467;1,5687079429626465
6390000;;;0,0176612194627523;0,5321868062019348
6420000;;;0,0166765116155147;0,7627653479576111
6450000;;;0,0168200843036174;0,5193062424659729
6480000;;;0,0156210865825414;1,1347482204437256
6510000;;;0,0218174997717142;1,5953422784805298
6540000;;;0,0204139724373817;0,7072418928146362
6570000;;;0,0181923285126686;1,5903151035308838
6600000;;;0,0162608716636896;0,46072039008140564
6630000;;;0,0110289547592401;0,7528538107872009
6660000;;;0,0181293599307537;0,36252281069755554
6690000;;;0,013294811360538;1,2811927795410156
6720000;;;0,0136348512023687;0,6648246049880981
6750000;;;0,0222293511033058;1,1862618923187256
6780000;;;0,0163655560463666;1,699219822883606
6810000;;;0,0173199791461229;1,3863494396209717
6840000;;;0,0190270617604255;0,9089490175247192
6870000;;;0,0164286606013774;0,9522123336791992
6900000;;;0,0172457359731197;1,1970423460006714
